epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,449.822,1.03496,1.45016,1.15316,0.99912,0.2,0.36833,0.22405,1.7211,2.9703,1.57017,0.000191249,0.000191249,0.000191249
81,455.007,0.90906,1.56642,1.18461,0.99872,0.2,0.39656,0.21656,1.80429,2.9306,1.59328,0.00018487,0.00018487,0.00018487
82,460.835,0.93833,1.51945,1.18745,0.99872,0.2,0.39656,0.21656,1.80429,2.9306,1.59328,0.000178272,0.000178272,0.000178272
83,465.869,0.9501,1.39287,1.13683,0.99872,0.2,0.39656,0.21656,1.80429,2.9306,1.59328,0.000171454,0.000171454,0.000171454
84,471.035,0.98041,1.51505,1.22735,0.99827,0.2,0.37875,0.21052,1.84461,2.87661,1.61283,0.000164416,0.000164416,0.000164416
85,475.576,0.94951,1.37587,1.16127,0.99827,0.2,0.37875,0.21052,1.84461,2.87661,1.61283,0.000157158,0.000157158,0.000157158
86,480.249,1.05367,1.49,1.16294,0.99827,0.2,0.37875,0.21052,1.84461,2.87661,1.61283,0.000149679,0.000149679,0.000149679
87,484.923,0.85749,1.33012,1.18778,0.99827,0.2,0.37875,0.21052,1.84461,2.87661,1.61283,0.000141981,0.000141981,0.000141981
88,489.661,1.0844,1.44217,1.19784,0.60991,0.34395,0.3849,0.21142,1.85487,2.84425,1.60114,0.000134063,0.000134063,0.000134063
89,495.334,0.86661,1.42435,1.1414,0.60991,0.34395,0.3849,0.21142,1.85487,2.84425,1.60114,0.000125925,0.000125925,0.000125925
90,500.143,0.87065,1.52071,1.1684,0.60991,0.34395,0.3849,0.21142,1.85487,2.84425,1.60114,0.000117567,0.000117567,0.000117567
91,504.91,0.96035,1.40601,1.05446,0.60991,0.34395,0.3849,0.21142,1.85487,2.84425,1.60114,0.000108989,0.000108989,0.000108989
92,509.449,0.84261,1.39117,1.09972,0.62596,0.35411,0.43189,0.23935,1.86609,2.78658,1.60328,0.000100191,0.000100191,0.000100191
93,514.127,0.88343,1.41343,1.13208,0.62596,0.35411,0.43189,0.23935,1.86609,2.78658,1.60328,9.11731e-05,9.11731e-05,9.11731e-05
94,518.666,0.88517,1.4592,1.16671,0.62596,0.35411,0.43189,0.23935,1.86609,2.78658,1.60328,8.19351e-05,8.19351e-05,8.19351e-05
95,523.334,0.82969,1.38214,1.07014,0.62596,0.35411,0.43189,0.23935,1.86609,2.78658,1.60328,7.24772e-05,7.24772e-05,7.24772e-05
96,528.024,0.88124,1.3381,1.07478,0.6382,0.36221,0.43995,0.23984,1.87786,2.71449,1.60051,6.27993e-05,6.27993e-05,6.27993e-05
97,532.846,0.91604,1.51592,1.1798,0.6382,0.36221,0.43995,0.23984,1.87786,2.71449,1.60051,5.29014e-05,5.29014e-05,5.29014e-05
98,538.048,0.90242,1.35834,1.11206,0.6382,0.36221,0.43995,0.23984,1.87786,2.71449,1.60051,4.27835e-05,4.27835e-05,4.27835e-05
99,543.671,0.8178,1.206,1.10065,0.6382,0.36221,0.43995,0.23984,1.87786,2.71449,1.60051,3.24456e-05,3.24456e-05,3.24456e-05
100,549.592,0.79669,1.25749,1.06547,0.65387,0.36897,0.44509,0.23994,1.87721,2.65662,1.59161,2.18878e-05,2.18878e-05,2.18878e-05
